,unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,saon,paon,street,locality,town,district,county,transaction_category,linked_data_uri,source_file,combined_address,ADDRESS_V1,fuzzy_match,match_confidence
10,AE4D86D3-CEC6-4619-E053-6C04A8C03CD0,425000,2020-07-15,HP13 5AE,S,N,F,nan,161,AMERSHAM ROAD,,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/AE4D86D3-CEC6-4619-E053-6C04A8C03CD0/current,./data-land_registry/HP13-march2020-to-nov2025.csv,161 amersham road nan hp13 5ae,161 AMERSHAM ROAD HP13 5AE,161 amersham road hp13 5ae,92.85714285714286
11,2131FCF5-BA3B-86E8-E063-4804A8C0372B,385000,2024-08-01,HP13 5AE,S,N,F,nan,181,AMERSHAM ROAD,,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/2131FCF5-BA3B-86E8-E063-4804A8C0372B/current,./data-land_registry/HP13-march2020-to-nov2025.csv,181 amersham road nan hp13 5ae,181 AMERSHAM ROAD HP13 5AE,181 amersham road hp13 5ae,92.85714285714286
12,42C129E4-3ECC-60A9-E063-4804A8C0C25D,375000,2025-10-27,HP13 5AF,T,N,F,nan,142,AMERSHAM ROAD,,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/42C129E4-3ECC-60A9-E063-4804A8C0C25D/current,./data-land_registry/HP13-march2020-to-nov2025.csv,142 amersham road nan hp13 5af,142 AMERSHAM ROAD HP13 5AF,142 amersham road hp13 5af,92.85714285714286
13,CD5A9DCB-8EF5-310A-E053-6C04A8C00A1F,317500,2021-03-26,HP13 5AF,T,N,F,nan,142,AMERSHAM ROAD,,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/CD5A9DCB-8EF5-310A-E053-6C04A8C00A1F/current,./data-land_registry/HP13-march2020-to-nov2025.csv,142 amersham road nan hp13 5af,142 AMERSHAM ROAD HP13 5AF,142 amersham road hp13 5af,92.85714285714286
14,FFA361DA-8C53-8A03-E053-4804A8C01F61,333000,2023-04-28,HP13 5AF,T,N,F,nan,146,AMERSHAM ROAD,,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/FFA361DA-8C53-8A03-E053-4804A8C01F61/current,./data-land_registry/HP13-march2020-to-nov2025.csv,146 amersham road nan hp13 5af,146 AMERSHAM ROAD HP13 5AF,146 amersham road hp13 5af,92.85714285714286
15,F16F63C5-6B01-0491-E053-6C04A8C032ED,355000,2022-12-14,HP13 5AF,T,N,F,nan,152,AMERSHAM ROAD,,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/F16F63C5-6B01-0491-E053-6C04A8C032ED/current,./data-land_registry/HP13-march2020-to-nov2025.csv,152 amersham road nan hp13 5af,152 AMERSHAM ROAD HP13 5AF,152 amersham road hp13 5af,92.85714285714286
16,2859C1AB-89D9-52B4-E063-4804A8C05948,375000,2024-07-24,HP13 5AF,S,N,F,nan,164,AMERSHAM ROAD,,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/2859C1AB-89D9-52B4-E063-4804A8C05948/current,./data-land_registry/HP13-march2020-to-nov2025.csv,164 amersham road nan hp13 5af,164 AMERSHAM ROAD HP13 5AF,164 amersham road hp13 5af,92.85714285714286
17,A96E4ACB-DC87-9205-E053-6C04A8C0DA09,307995,2020-05-20,HP13 5AF,S,N,F,nan,164,AMERSHAM ROAD,,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/A96E4ACB-DC87-9205-E053-6C04A8C0DA09/current,./data-land_registry/HP13-march2020-to-nov2025.csv,164 amersham road nan hp13 5af,164 AMERSHAM ROAD HP13 5AF,164 amersham road hp13 5af,92.85714285714286
18,C8A3A575-E0E2-0425-E053-6C04A8C0947B,263000,2021-06-25,HP13 5AF,T,N,F,nan,182,AMERSHAM ROAD,,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/C8A3A575-E0E2-0425-E053-6C04A8C0947B/current,./data-land_registry/HP13-march2020-to-nov2025.csv,182 amersham road nan hp13 5af,182 AMERSHAM ROAD HP13 5AF,182 amersham road hp13 5af,92.85714285714286
19,1061746D-B1A3-3C34-E063-4804A8C0F9E7,735000,2023-10-06,HP13 5AG,T,N,F,nan,8,DE HAVILLAND COURT,,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/1061746D-B1A3-3C34-E063-4804A8C0F9E7/current,./data-land_registry/HP13-march2020-to-nov2025.csv,8 de havilland court nan hp13 5ag,8 DE HAVILLAND COURT HP13 5AG,8 de havilland court hp13 5ag,93.5483870967742
