,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_regressor__colsample_bylevel,param_regressor__colsample_bytree,param_regressor__gamma,param_regressor__learning_rate,param_regressor__max_depth,param_regressor__min_child_weight,param_regressor__n_estimators,param_regressor__reg_alpha,param_regressor__reg_lambda,param_regressor__subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
46,2.6617530981699624,0.07218969319444693,0.0177767276763916,0.000508278029633115,0.8515757117343571,0.9479372398323225,0.16002480051530588,0.09955232284962005,4,4,495,0.9585414968831983,3.888572576382359,0.8064715571388161,"{'regressor__colsample_bylevel': 0.8515757117343571, 'regressor__colsample_bytree': 0.9479372398323225, 'regressor__gamma': 0.16002480051530588, 'regressor__learning_rate': 0.09955232284962005, 'regressor__max_depth': 4, 'regressor__min_child_weight': 4, 'regressor__n_estimators': 495, 'regressor__reg_alpha': 0.9585414968831983, 'regressor__reg_lambda': 3.888572576382359, 'regressor__subsample': 0.8064715571388161}",-0.20144134759902954,-0.19445592164993286,-0.19601555168628693,-0.1973042736450831,0.002993843364628029,76,-0.16482135653495789,-0.16081953048706055,-0.1627170741558075,-0.1627859870592753,0.0016344651868640256
60,4.212263981501262,0.23342386283292305,0.021183331807454426,0.0012584312351005776,0.9526356769407125,0.9514986114133412,0.23434657989748514,0.051481950233766526,4,5,922,0.8647223762550532,3.7516040365203103,0.9999153019858391,"{'regressor__colsample_bylevel': 0.9526356769407125, 'regressor__colsample_bytree': 0.9514986114133412, 'regressor__gamma': 0.23434657989748514, 'regressor__learning_rate': 0.051481950233766526, 'regressor__max_depth': 4, 'regressor__min_child_weight': 5, 'regressor__n_estimators': 922, 'regressor__reg_alpha': 0.8647223762550532, 'regressor__reg_lambda': 3.7516040365203103, 'regressor__subsample': 0.9999153019858391}",-0.20251499116420746,-0.19436509907245636,-0.1953369379043579,-0.19740567604700723,0.003634551178521307,77,-0.16706383228302002,-0.16062267124652863,-0.1648821085691452,-0.1641895373662313,0.0026748059154304946
23,9.480340321858725,0.14173605366758016,0.03415274620056152,0.0010324732648824264,0.7252419894985146,0.7484886142283841,0.4492770942635396,0.070642905965959,6,6,1596,0.6635017691080558,0.5202463353848747,0.7482424154252496,"{'regressor__colsample_bylevel': 0.7252419894985146, 'regressor__colsample_bytree': 0.7484886142283841, 'regressor__gamma': 0.4492770942635396, 'regressor__learning_rate': 0.070642905965959, 'regressor__max_depth': 6, 'regressor__min_child_weight': 6, 'regressor__n_estimators': 1596, 'regressor__reg_alpha': 0.6635017691080558, 'regressor__reg_lambda': 0.5202463353848747, 'regressor__subsample': 0.7482424154252496}",-0.19820187985897064,-0.1967955380678177,-0.1972477287054062,-0.19741504887739816,0.0005862003857342045,78,-0.07357048243284225,-0.06675443798303604,-0.06698272377252579,-0.06910254806280136,0.003160681018563908
90,8.69655672709147,0.8442807686503203,0.0300904115041097,0.0001087272954023753,0.768205294908996,0.8270790587261448,0.14396480823786306,0.07149502631526544,5,5,1739,0.505888678884466,2.9458169417385913,0.7054330551462521,"{'regressor__colsample_bylevel': 0.768205294908996, 'regressor__colsample_bytree': 0.8270790587261448, 'regressor__gamma': 0.14396480823786306, 'regressor__learning_rate': 0.07149502631526544, 'regressor__max_depth': 5, 'regressor__min_child_weight': 5, 'regressor__n_estimators': 1739, 'regressor__reg_alpha': 0.505888678884466, 'regressor__reg_lambda': 2.9458169417385913, 'regressor__subsample': 0.7054330551462521}",-0.1998966485261917,-0.19605529308319092,-0.19633886218070984,-0.19743026793003082,0.0017478325228896367,79,-0.09931984543800354,-0.09355548024177551,-0.09258386492729187,-0.09515306353569031,0.002972940479942218
63,17.679080963134766,3.301654105397843,0.04390859603881836,0.0006265238345477944,0.9316955175206918,0.856049050333598,0.42609075015927006,0.06519068387744856,8,6,1857,0.7918178394696329,2.8598235885505443,0.8440137901055424,"{'regressor__colsample_bylevel': 0.9316955175206918, 'regressor__colsample_bytree': 0.856049050333598, 'regressor__gamma': 0.42609075015927006, 'regressor__learning_rate': 0.06519068387744856, 'regressor__max_depth': 8, 'regressor__min_child_weight': 6, 'regressor__n_estimators': 1857, 'regressor__reg_alpha': 0.7918178394696329, 'regressor__reg_lambda': 2.8598235885505443, 'regressor__subsample': 0.8440137901055424}",-0.20032529532909393,-0.19611389935016632,-0.19603417813777924,-0.1974911242723465,0.0020043258304817905,80,-0.029499240219593048,-0.027668554335832596,-0.02736024558544159,-0.028176013380289078,0.0009440905756627018
91,26.86208963394165,1.379680361658269,0.07159630457560222,0.003499961409965983,0.9616371726832453,0.9796354847450837,0.28256659179460447,0.07966508238768923,11,5,1963,0.6513672109882461,3.584986674078952,0.8123306109161266,"{'regressor__colsample_bylevel': 0.9616371726832453, 'regressor__colsample_bytree': 0.9796354847450837, 'regressor__gamma': 0.28256659179460447, 'regressor__learning_rate': 0.07966508238768923, 'regressor__max_depth': 11, 'regressor__min_child_weight': 5, 'regressor__n_estimators': 1963, 'regressor__reg_alpha': 0.6513672109882461, 'regressor__reg_lambda': 3.584986674078952, 'regressor__subsample': 0.8123306109161266}",-0.19947375357151031,-0.19666457176208496,-0.19638322293758392,-0.19750718275705972,0.0013953111639699218,81,-0.011020389385521412,-0.012467668391764164,-0.011152798309922218,-0.011546952029069265,0.0006532850302973114
9,10.00796906153361,0.08034007237347793,0.032124996185302734,0.00011235208343748767,0.9778902635540047,0.8953231076505833,0.4574798377718904,0.09500385777897993,7,2,1156,0.06355835028602363,1.7439292868626488,0.7975549966080241,"{'regressor__colsample_bylevel': 0.9778902635540047, 'regressor__colsample_bytree': 0.8953231076505833, 'regressor__gamma': 0.4574798377718904, 'regressor__learning_rate': 0.09500385777897993, 'regressor__max_depth': 7, 'regressor__min_child_weight': 2, 'regressor__n_estimators': 1156, 'regressor__reg_alpha': 0.06355835028602363, 'regressor__reg_lambda': 1.7439292868626488, 'regressor__subsample': 0.7975549966080241}",-0.19957637786865234,-0.19653339684009552,-0.1966826468706131,-0.197597473859787,0.001400622409295217,82,-0.04169240966439247,-0.04159426689147949,-0.037216223776340485,-0.040167633444070816,0.002087346364972811
59,8.371511300404867,0.13380777322910753,0.03219334284464518,0.0007844957555712344,0.865476361763221,0.7494502783411002,0.20562755829268453,0.08776022837352256,5,1,1902,0.5941307153521351,2.023563426524086,0.990974319344381,"{'regressor__colsample_bylevel': 0.865476361763221, 'regressor__colsample_bytree': 0.7494502783411002, 'regressor__gamma': 0.20562755829268453, 'regressor__learning_rate': 0.08776022837352256, 'regressor__max_depth': 5, 'regressor__min_child_weight': 1, 'regressor__n_estimators': 1902, 'regressor__reg_alpha': 0.5941307153521351, 'regressor__reg_lambda': 2.023563426524086, 'regressor__subsample': 0.990974319344381}",-0.2005920559167862,-0.19765131175518036,-0.19501450657844543,-0.19775262475013733,0.00227815164810082,83,-0.06585787981748581,-0.06661060452461243,-0.06525467336177826,-0.0659077192346255,0.0005546772666526139
62,2.1261096000671387,0.11087267216443816,0.017541964848836262,0.0003138183484515519,0.7824195391077726,0.7621682947024169,0.4391103337395961,0.08569991321722287,5,4,194,0.11355759219962902,3.1862927823711984,0.856092310271138,"{'regressor__colsample_bylevel': 0.7824195391077726, 'regressor__colsample_bytree': 0.7621682947024169, 'regressor__gamma': 0.4391103337395961, 'regressor__learning_rate': 0.08569991321722287, 'regressor__max_depth': 5, 'regressor__min_child_weight': 4, 'regressor__n_estimators': 194, 'regressor__reg_alpha': 0.11355759219962902, 'regressor__reg_lambda': 3.1862927823711984, 'regressor__subsample': 0.856092310271138}",-0.20271582901477814,-0.19608846306800842,-0.1947707086801529,-0.19785833358764648,0.0034766425878167586,84,-0.1753080189228058,-0.17292989790439606,-0.17409975826740265,-0.17411255836486816,0.0009709060292400004
66,8.179124196370443,0.2006500265970094,0.026805003484090168,0.00044044459692313073,0.9092925614480389,0.9389415327021631,0.22967340397308622,0.09420914150187097,4,4,1975,0.4591357562382613,4.420130301141908,0.8477854281978608,"{'regressor__colsample_bylevel': 0.9092925614480389, 'regressor__colsample_bytree': 0.9389415327021631, 'regressor__gamma': 0.22967340397308622, 'regressor__learning_rate': 0.09420914150187097, 'regressor__max_depth': 4, 'regressor__min_child_weight': 4, 'regressor__n_estimators': 1975, 'regressor__reg_alpha': 0.4591357562382613, 'regressor__reg_lambda': 4.420130301141908, 'regressor__subsample': 0.8477854281978608}",-0.20070341229438782,-0.19593624770641327,-0.19737330079078674,-0.1980043202638626,0.001996681202021719,85,-0.10983544588088989,-0.1065279021859169,-0.10536416620016098,-0.10724250475565593,0.0018940394435056915
61,9.161964257558187,0.37747476470383473,0.02608466148376465,0.0006968059696101022,0.9989910511221716,0.8666295116807882,0.38449370759025525,0.1044765729882428,5,3,1268,0.24108483232963185,1.3201813140260996,0.7754327318535394,"{'regressor__colsample_bylevel': 0.9989910511221716, 'regressor__colsample_bytree': 0.8666295116807882, 'regressor__gamma': 0.38449370759025525, 'regressor__learning_rate': 0.1044765729882428, 'regressor__max_depth': 5, 'regressor__min_child_weight': 3, 'regressor__n_estimators': 1268, 'regressor__reg_alpha': 0.24108483232963185, 'regressor__reg_lambda': 1.3201813140260996, 'regressor__subsample': 0.7754327318535394}",-0.2010040134191513,-0.19488662481307983,-0.19816143810749054,-0.19801735877990723,0.0024994906119582194,86,-0.08880621194839478,-0.08433999866247177,-0.08115370571613312,-0.08476663877566655,0.003138654621366828
44,20.03778640429179,0.032247776699758236,0.06818628311157227,0.002429776015218571,0.9410442791154545,0.7846103717713919,0.08871977188986141,0.08506147516408584,11,3,1812,0.7316477552996402,1.0107589176898624,0.7750049347648313,"{'regressor__colsample_bylevel': 0.9410442791154545, 'regressor__colsample_bytree': 0.7846103717713919, 'regressor__gamma': 0.08871977188986141, 'regressor__learning_rate': 0.08506147516408584, 'regressor__max_depth': 11, 'regressor__min_child_weight': 3, 'regressor__n_estimators': 1812, 'regressor__reg_alpha': 0.7316477552996402, 'regressor__reg_lambda': 1.0107589176898624, 'regressor__subsample': 0.7750049347648313}",-0.1998322755098343,-0.19654527306556702,-0.1977742314338684,-0.19805059333642325,0.0013560674007444102,87,-0.011701357550919056,-0.013540512882173061,-0.012021842412650585,-0.012421237615247568,0.000802188871780672
